name,canonicalTranscript_graph_id,chromosome,entrezId,jaxId,description_graph_id,synonyms_graph_id,graph_id
CCNI2,es_20200604115458935615,5,645121,645121,es_20200422175558916774,esl_20200604115458935615,jax_gene_645121
AFAP1L2,es_20200604115458935642,10,84632,84632,es_20200422164002009855,esl_20200604115458935642,jax_gene_84632
CEP43,es_20200604115458935669,6,11116,11116,es_20200422163744434770,esl_20200604115458935669,jax_gene_11116
MAPK9,es_20200604115458935694,5,5601,5601,es_20200422163746135263,esl_20200604115458935694,jax_gene_5601
TCF12,es_20200604115458935729,15,6938,6938,es_20200422163829490051,esl_20200604115458935729,jax_gene_6938
SSBP1,es_20200604115458935760,7,6742,6742,es_20200422163746576532,esl_20200604115458935760,jax_gene_6742
TEAD2,es_20200604115458935786,19,8463,8463,es_20200422175551634612,esl_20200604115458935786,jax_gene_8463
APC,es_20200604115458935813,5,324,324,es_20200422163800741266,esl_20200604115458935813,jax_gene_324
NFKB1,es_20200604115458935842,4,4790,4790,es_20200422163754309938,esl_20200604115458935842,jax_gene_4790
DDX3X,es_20200604115458935902,X,1654,1654,es_20200422163818903341,esl_20200604115458935902,jax_gene_1654
TOP2A,es_20200604115458935935,17,7153,7153,es_20200422163747888509,esl_20200604115458935935,jax_gene_7153
COX2,es_20200604115458935960,MT,4513,4513,es_20200422163802602305,esl_20200604115458935960,jax_gene_4513
TXN,es_20200604115458935984,9,7295,7295,es_20200422163759698833,esl_20200604115458935984,jax_gene_7295
ERG,es_20200604115458936036,21,2078,2078,es_20200422175552946368,esl_20200604115458936036,jax_gene_2078
PIK3R5,es_20200604115458936062,17,23533,23533,es_20200422163854029926,esl_20200604115458936062,jax_gene_23533
EBF1,es_20200604115458936089,5,1879,1879,es_20200422163847254328,esl_20200604115458936089,jax_gene_1879
MACF1,es_20200604115458936117,1,23499,23499,es_20200422163850689009,esl_20200604115458936117,jax_gene_23499
TFEB,es_20200604115458936145,6,7942,7942,es_20200422175554203259,esl_20200604115458936145,jax_gene_7942
CEACAM5,es_20200604115458936172,19,1048,1048,es_20200422163905924533,esl_20200604115458936172,jax_gene_1048
PTK2B,es_20200604115458936197,8,2185,2185,es_20200422163855538784,esl_20200604115458936197,jax_gene_2185
PIK3C2G,es_20200604115458936228,12,5288,5288,es_20200422163900257636,esl_20200604115458936228,jax_gene_5288
LRP1B,es_20200604115458936253,2,53353,53353,es_20200422163858032523,esl_20200604115458936253,jax_gene_53353
RAD18,es_20200604115458936279,3,56852,56852,es_20200422163857097707,esl_20200604115458936279,jax_gene_56852
BRD4,es_20200604115458936302,19,23476,23476,es_20200422163855009068,esl_20200604115458936302,jax_gene_23476
BCOR,es_20200604115458936329,X,54880,54880,es_20200422163903641529,esl_20200604115458936329,jax_gene_54880
APLNR,es_20200604115458936354,11,187,187,es_20200422163906951224,esl_20200604115458936354,jax_gene_187
NFASC,es_20200604115458936381,1,23114,23114,es_20200422163902623480,esl_20200604115458936381,jax_gene_23114
MALAT1,es_20200604115458936407,11,378938,378938,es_20200422163901655497,esl_20200604115458936407,jax_gene_378938
LAMTOR1,es_20200604115458936436,11,55004,55004,es_20200422163908057404,esl_20200604115458936436,jax_gene_55004
SUPT16H,es_20200604115458936464,14,11198,11198,es_20200422163915718149,esl_20200604115458936464,jax_gene_11198
FGFR2,es_20200604115458936491,10,2263,2263,es_20200422163920771639,esl_20200604115458936491,jax_gene_2263
RUFY2,es_20200604115458936526,10,55680,55680,es_20200422163911690110,esl_20200604115458936526,jax_gene_55680
DIS3,es_20200604115458936551,13,22894,22894,es_20200422163931835373,esl_20200604115458936551,jax_gene_22894
DUSP22,es_20200604115458936579,6,56940,56940,es_20200422163913550657,esl_20200604115458936579,jax_gene_56940
DNMT3B,es_20200604115458936610,20,1789,1789,es_20200422175555660833,esl_20200604115458936610,jax_gene_1789
GNAQ,es_20200604115458936635,9,2776,2776,es_20200422163923860475,esl_20200604115458936635,jax_gene_2776
SP3,es_20200604115458936661,2,6670,6670,es_20200422163917004487,esl_20200604115458936661,jax_gene_6670
BARD1,es_20200604115458936688,2,580,580,es_20200422175556741644,esl_20200604115458936688,jax_gene_580
SMAD3,es_20200604115458936710,15,4088,4088,es_20200422163929999838,esl_20200604115458936710,jax_gene_4088
DYRK1A,es_20200604115458936739,21,1859,1859,es_20200422163922950063,esl_20200604115458936739,jax_gene_1859
IKZF1,es_20200604115458936767,7,10320,10320,es_20200422163926123451,esl_20200604115458936767,jax_gene_10320
TNF,es_20200604115458936800,6,7124,7124,es_20200422163924836821,esl_20200604115458936800,jax_gene_7124
MSH3,es_20200604115458936828,5,4437,4437,es_20200422163929552520,esl_20200604115458936828,jax_gene_4437
BCL2,es_20200604115458936853,18,596,596,es_20200422163935525966,esl_20200604115458936853,jax_gene_596
GATA3,es_20200604115458936877,10,2625,2625,es_20200422163933468447,esl_20200604115458936877,jax_gene_2625
LYN,es_20200604115458936901,8,4067,4067,es_20200422163927525949,esl_20200604115458936901,jax_gene_4067
CACNA1S,es_20200604115458936927,1,779,779,es_20200422164247718249,esl_20200604115458936927,jax_gene_779
NADK,es_20200604115458936958,1,65220,65220,es_20200422163929075483,esl_20200604115458936958,jax_gene_65220
MED23,es_20200604115458936981,6,9439,9439,es_20200422163937785781,esl_20200604115458936981,jax_gene_9439
NUTM2A,es_20200604115458937012,10,728118,728118,es_20200422164000681020,esl_20200604115458937012,jax_gene_728118
SMG6,es_20200604115458937036,17,23293,23293,es_20200422175559518342,esl_20200604115458937036,jax_gene_23293
CDH11,es_20200604115458937298,16,1009,1009,es_20200422163936026977,esl_20200604115458937298,jax_gene_1009
NRF1,es_20200604115458937374,7,4899,4899,es_20200422175600754293,esl_20200604115458937374,jax_gene_4899
PDS5B,es_20200604115458937400,13,23047,23047,es_20200422163940154555,esl_20200604115458937400,jax_gene_23047
RPS6KA5,es_20200604115458937426,14,9252,9252,es_20200422175602679251,esl_20200604115458937426,jax_gene_9252
MSLN,es_20200604115458937453,16,10232,10232,es_20200422164008934883,esl_20200604115458937453,jax_gene_10232
BCL9,es_20200604115458937478,1,607,607,es_20200422164006760356,esl_20200604115458937478,jax_gene_607
NR4A3,es_20200604115458937505,9,8013,8013,es_20200422163959739489,esl_20200604115458937505,jax_gene_8013
CRB3,es_20200604115458937534,19,92359,92359,es_20200422164010433846,esl_20200604115458937534,jax_gene_92359
RYR1,es_20200604115458937557,19,6261,6261,es_20200422164014635477,esl_20200604115458937557,jax_gene_6261
SLC66A1,es_20200604115458937587,1,54896,54896,es_20200422164009449711,esl_20200604115458937587,jax_gene_54896
IFIT2,es_20200604115458937613,10,3433,3433,es_20200422175604016202,esl_20200604115458937613,jax_gene_3433
CDK20,es_20200604115458937689,9,23552,23552,es_20200422164012395024,esl_20200604115458937689,jax_gene_23552
ARAF,es_20200604115458937717,X,369,369,es_20200422164024011237,esl_20200604115458937717,jax_gene_369
RPS6KC1,es_20200604115458937743,1,26750,26750,es_20200422164010933062,esl_20200604115458937743,jax_gene_26750
H3-4,es_20200604115458937771,1,8290,8290,es_20200422164021557401,esl_20200604115458937771,jax_gene_8290
SLC16A7,es_20200604115458937799,12,9194,9194,es_20200422164013236967,esl_20200604115458937799,jax_gene_9194
CCNC,es_20200604115458937823,6,892,892,es_20200422164016482164,esl_20200604115458937823,jax_gene_892
GLI3,es_20200604115458937866,7,2737,2737,es_20200422164019419702,esl_20200604115458937866,jax_gene_2737
FRS2,es_20200604115458937902,12,10818,10818,es_20200422164018474163,esl_20200604115458937902,jax_gene_10818
FXR1,es_20200604115458937931,3,8087,8087,es_20200422175605986570,esl_20200604115458937931,jax_gene_8087
CXCL8,es_20200604115458937955,4,3576,3576,es_20200422164022180015,esl_20200604115458937955,jax_gene_3576
STAT3,es_20200604115458937988,17,6774,6774,es_20200422164023545887,esl_20200604115458937988,jax_gene_6774
RAD54L,es_20200604115458938015,1,8438,8438,es_20200422164030507525,esl_20200604115458938015,jax_gene_8438
TNFRSF8,es_20200604115458938042,1,943,943,es_20200422164042246817,esl_20200604115458938042,jax_gene_943
PRKAR1A,es_20200604115458938068,17,5573,5573,es_20200422175608192309,esl_20200604115458938068,jax_gene_5573
DNM3,es_20200604115458938101,1,26052,26052,es_20200422164040410047,esl_20200604115458938101,jax_gene_26052
DSPP,es_20200604115458938124,4,1834,1834,es_20200422164055789057,esl_20200604115458938124,jax_gene_1834
INHBA,es_20200604115458938151,7,3624,3624,es_20200422164032691144,esl_20200604115458938151,jax_gene_3624
GLI2,es_20200604115458938175,2,2736,2736,es_20200422164347185385,esl_20200604115458938175,jax_gene_2736
PVT1,es_20200604115458938203,8,5820,5820,es_20200422164036289977,esl_20200604115458938203,jax_gene_5820
FGF14,es_20200604115458938230,13,2259,2259,es_20200422164043508426,esl_20200604115458938230,jax_gene_2259
TRIM11,es_20200604115458938257,1,81559,81559,es_20200422164044879729,esl_20200604115458938257,jax_gene_81559
ASXL2,es_20200604115458938282,2,55252,55252,es_20200422164049246239,esl_20200604115458938282,jax_gene_55252
TACC1,es_20200604115458938307,8,6867,6867,es_20200422164046972616,esl_20200604115458938307,jax_gene_6867
RPA4,es_20200604115458938331,X,29935,29935,es_20200422164053017384,esl_20200604115458938331,jax_gene_29935
SLC7A11,es_20200604115458938355,4,23657,23657,es_20200422164100631571,esl_20200604115458938355,jax_gene_23657
CCR2,es_20200604115458938402,3,729230,729230,es_20200422164051233890,esl_20200604115458938402,jax_gene_729230
TENT5C,es_20200604115458938439,1,54855,54855,es_20200422164053947070,esl_20200604115458938439,jax_gene_54855
RBBP8,es_20200604115458938463,18,5932,5932,es_20200422164109916000,esl_20200604115458938463,jax_gene_5932
AMER1,es_20200604115458938492,X,139285,139285,es_20200422164113877333,esl_20200604115458938492,jax_gene_139285
TADA2A,es_20200604115458938518,17,6871,6871,es_20200422175616746726,esl_20200604115458938518,jax_gene_6871
BIRC7,es_20200604115458938547,20,79444,79444,es_20200422164111001410,esl_20200604115458938547,jax_gene_79444
TCF7L2,es_20200604115458938575,10,6934,6934,es_20200422164121086091,esl_20200604115458938575,jax_gene_6934
SCGB1C1,es_20200604115458938624,11,147199,147199,es_20200422175615407881,esl_20200604115458938624,jax_gene_147199
CYP19A1,es_20200604115458938649,15,1588,1588,es_20200422164111931061,esl_20200604115458938649,jax_gene_1588
ERCC6,es_20200604115458938679,10,2074,2074,es_20200422164119434651,esl_20200604115458938679,jax_gene_2074
ARHGAP26,es_20200604115458938711,5,23092,23092,es_20200422164116393741,esl_20200604115458938711,jax_gene_23092
PPFIBP1,es_20200604115458938737,12,8496,8496,es_20200422164118943741,esl_20200604115458938737,jax_gene_8496
HAUS5,es_20200604115458938764,19,23354,23354,es_20200422164137527857,esl_20200604115458938764,jax_gene_23354
ATN1,es_20200604115458938789,12,1822,1822,es_20200422164136544282,esl_20200604115458938789,jax_gene_1822
FUBP1,es_20200604115458938817,1,8880,8880,es_20200422164122417267,esl_20200604115458938817,jax_gene_8880
RASGRF2,es_20200604115458938843,5,5924,5924,es_20200422164141215867,esl_20200604115458938843,jax_gene_5924
NFATC2,es_20200604115458938870,20,4773,4773,es_20200422164139854265,esl_20200604115458938870,jax_gene_4773
FOXP1,es_20200604115458938895,3,27086,27086,es_20200422164146509886,esl_20200604115458938895,jax_gene_27086
MMP14,es_20200604115458938923,14,4323,4323,es_20200422164138422606,esl_20200604115458938923,jax_gene_4323
KIF13B,es_20200604115458938954,8,23303,23303,es_20200422164158836706,esl_20200604115458938954,jax_gene_23303
SLX4,es_20200604115458938978,16,84464,84464,es_20200422164142069030,esl_20200604115458938978,jax_gene_84464
CCN6,es_20200604115458939003,6,8838,8838,es_20200422164144796204,esl_20200604115458939003,jax_gene_8838
ZC3HAV1,es_20200604115458939030,7,56829,56829,es_20200422164149834892,esl_20200604115458939030,jax_gene_56829
APOBEC2,es_20200604115458939059,6,10930,10930,es_20200422164159711830,esl_20200604115458939059,jax_gene_10930
H3C14,es_20200604115458939083,1,126961,126961,es_20200422164154038463,esl_20200604115458939083,jax_gene_126961
A1CF,es_20200604115458939113,10,29974,29974,es_20200422175618006579,esl_20200604115458939113,jax_gene_29974
FANCG,es_20200604115458939141,9,2189,2189,es_20200422164152428924,esl_20200604115458939141,jax_gene_2189
GOLGA5,es_20200604115458939165,14,9950,9950,es_20200422164202646194,esl_20200604115458939165,jax_gene_9950
ATRIP,es_20200604115458939190,3,84126,84126,es_20200422164157453721,esl_20200604115458939190,jax_gene_84126
H3C10,es_20200604115458939212,6,8357,8357,es_20200422164201580977,esl_20200604115458939212,jax_gene_8357
POLD4,es_20200604115458939248,11,57804,57804,es_20200422164203566318,esl_20200604115458939248,jax_gene_57804
STK33,es_20200604115458939272,11,65975,65975,es_20200422164204961458,esl_20200604115458939272,jax_gene_65975
MYO18A,es_20200604115458939294,17,399687,399687,es_20200422164214404693,esl_20200604115458939294,jax_gene_399687
H3C12,es_20200604115458939321,6,8356,8356,es_20200422164211965380,esl_20200604115458939321,jax_gene_8356
CALR,es_20200604115458939393,19,811,811,es_20200422164209765631,esl_20200604115458939393,jax_gene_811
DEPDC5,es_20200604115458939423,22,9681,9681,es_20200422164221190552,esl_20200604115458939423,jax_gene_9681
CARD11,es_20200604115458939449,7,84433,84433,es_20200422164206829429,esl_20200604115458939449,jax_gene_84433
HSP90AB1,es_20200604115458939478,6,3326,3326,es_20200422164220592903,esl_20200604115458939478,jax_gene_3326
KIF5B,es_20200604115458939506,10,3799,3799,es_20200422164226226399,esl_20200604115458939506,jax_gene_3799
ENG,es_20200604115458939534,9,2022,2022,es_20200422164228625497,esl_20200604115458939534,jax_gene_2022
PRKN,es_20200604115458939560,6,5071,5071,es_20200422164216228417,esl_20200604115458939560,jax_gene_5071
PTCH2,es_20200604115458939586,1,8643,8643,es_20200422164213409913,esl_20200604115458939586,jax_gene_8643
IPO7,es_20200604115458939610,11,10527,10527,es_20200422164219438267,esl_20200604115458939610,jax_gene_10527
BST2,es_20200604115458939635,19,684,684,es_20200422164223826415,esl_20200604115458939635,jax_gene_684
CCAR2,es_20200604115458939659,8,57805,57805,es_20200422164217975971,esl_20200604115458939659,jax_gene_57805
FANCF,es_20200604115458939688,11,2188,2188,es_20200422164227199126,esl_20200604115458939688,jax_gene_2188
RB1,es_20200604115458939711,13,5925,5925,es_20200422164240084618,esl_20200604115458939711,jax_gene_5925
NSD1,es_20200604115458939741,5,64324,64324,es_20200422164231403991,esl_20200604115458939741,jax_gene_64324
PDK1,es_20200604115458939769,2,5163,5163,es_20200422164229147680,esl_20200604115458939769,jax_gene_5163
NFATC1,es_20200604115458939808,18,4772,4772,es_20200422164237923127,esl_20200604115458939808,jax_gene_4772
EWSR1,es_20200604115458939839,22,2130,2130,es_20200422164248267712,esl_20200604115458939839,jax_gene_2130
JMJD6,es_20200604115458939866,17,23210,23210,es_20200422164242376181,esl_20200604115458939866,jax_gene_23210
LRIG3,es_20200604115458939892,12,121227,121227,es_20200422164450066638,esl_20200604115458939892,jax_gene_121227
CUL1,es_20200604115458939915,7,8454,8454,es_20200422164454965123,esl_20200604115458939915,jax_gene_8454
MAST2,es_20200604115458939938,1,23139,23139,es_20200422175620387139,esl_20200604115458939938,jax_gene_23139
FZR1,es_20200604115458939963,19,51343,51343,es_20200422164251456552,esl_20200604115458939963,jax_gene_51343
MLLT10,es_20200604115458939993,10,8028,8028,es_20200422164253262445,esl_20200604115458939993,jax_gene_8028
BIRC2,es_20200604115458940017,11,329,329,es_20200422164245828717,esl_20200604115458940017,jax_gene_329
AGK,es_20200604115458940047,7,55750,55750,es_20200422175622546190,esl_20200604115458940047,jax_gene_55750
EXO1,es_20200604115458940074,1,9156,9156,es_20200422175625366994,esl_20200604115458940074,jax_gene_9156
KIAA1217,es_20200604115458940098,10,56243,56243,es_20200422164300708495,esl_20200604115458940098,jax_gene_56243
VMP1,es_20200604115458940123,17,81671,81671,es_20200422164303897276,esl_20200604115458940123,jax_gene_81671
POU5F1,es_20200604115458940149,6,5460,5460,es_20200422164305281767,esl_20200604115458940149,jax_gene_5460
SSX4,es_20200604115458940178,X,6759,6759,es_20200422164256397806,esl_20200604115458940178,jax_gene_6759
SQSTM1,es_20200604115458940204,5,8878,8878,es_20200422175627716803,esl_20200604115458940204,jax_gene_8878
RABGAP1L,es_20200604115458940237,1,9910,9910,es_20200422164302889649,esl_20200604115458940237,jax_gene_9910
SCYL3,es_20200604115458940262,1,57147,57147,es_20200422164310981165,esl_20200604115458940262,jax_gene_57147
XRCC4,es_20200604115458940287,5,7518,7518,es_20200422164302028502,esl_20200604115458940287,jax_gene_7518
CDK15,es_20200604115458940310,2,65061,65061,es_20200422164321666775,esl_20200604115458940310,jax_gene_65061
SRSF2,es_20200604115458940336,17,6427,6427,es_20200422164338872330,esl_20200604115458940336,jax_gene_6427
OFD1,es_20200604115458940364,X,8481,8481,es_20200422164313261640,esl_20200604115458940364,jax_gene_8481
ERC1,es_20200604115458940392,12,23085,23085,es_20200422164312028909,esl_20200604115458940392,jax_gene_23085
ROS1,es_20200604115458940418,6,6098,6098,es_20200422164326451284,esl_20200604115458940418,jax_gene_6098
TMEM82,es_20200604115458940444,1,388595,388595,es_20200422175633630953,esl_20200604115458940444,jax_gene_388595
DDR1,es_20200604115458940467,6,780,780,es_20200422175631029488,esl_20200604115458940467,jax_gene_780
CDK8,es_20200604115458940502,13,1024,1024,es_20200422175634666517,esl_20200604115458940502,jax_gene_1024
ADARB1,es_20200604115458940526,21,104,104,es_20200422164319889373,esl_20200604115458940526,jax_gene_104
MAGEC1,es_20200604115458940574,X,9947,9947,es_20200422164323051046,esl_20200604115458940574,jax_gene_9947
TMEM127,es_20200604115458940603,2,55654,55654,es_20200422164323979239,esl_20200604115458940603,jax_gene_55654
CRLF2,es_20200604115458940626,"X, Y",64109,64109,es_20200422164329079298,esl_20200604115458940626,jax_gene_64109
IL13RA2,es_20200604115458940653,X,3598,3598,es_20200422164343680194,esl_20200604115458940653,jax_gene_3598
FUS,es_20200604115458940680,16,2521,2521,es_20200422164333616578,esl_20200604115458940680,jax_gene_2521
EPAS1,es_20200604115458940714,2,2034,2034,es_20200422164335288409,esl_20200604115458940714,jax_gene_2034
COL14A1,es_20200604115458940743,8,7373,7373,es_20200422175637623607,esl_20200604115458940743,jax_gene_7373
WNT1,es_20200604115458940767,12,7471,7471,es_20200422164345029214,esl_20200604115458940767,jax_gene_7471
CEP85L,es_20200604115458940853,6,387119,387119,es_20200422175638997800,esl_20200604115458940853,jax_gene_387119
PRMT2,es_20200604115458940884,21,3275,3275,es_20200422164341069155,esl_20200604115458940884,jax_gene_3275
CD27,es_20200604115458940908,12,939,939,es_20200422164346287323,esl_20200604115458940908,jax_gene_939
PDGFRB,es_20200604115458940971,5,5159,5159,es_20200422175640272697,esl_20200604115458940971,jax_gene_5159
ATF1,es_20200604115458941005,12,466,466,es_20200422164658389529,esl_20200604115458941005,jax_gene_466
RHOA,es_20200604115458941031,3,387,387,es_20200422164341602644,esl_20200604115458941031,jax_gene_387
PCMTD1,es_20200604115458941059,8,115294,115294,es_20200422164355470643,esl_20200604115458941059,jax_gene_115294
CRKL,es_20200604115458941081,22,1399,1399,es_20200422164358295033,esl_20200604115458941081,jax_gene_1399
STAT4,es_20200604115458941104,2,6775,6775,es_20200422164354363562,esl_20200604115458941104,jax_gene_6775
MMP9,es_20200604115458941128,20,4318,4318,es_20200422164349045208,esl_20200604115458941128,jax_gene_4318
DDX11,es_20200604115458941154,12,1663,1663,es_20200422164355950767,esl_20200604115458941154,jax_gene_1663
KMT2C,es_20200604115458941180,7,58508,58508,es_20200422164402440258,esl_20200604115458941180,jax_gene_58508
NUMBL,es_20200604115458941206,19,9253,9253,es_20200422175644197238,esl_20200604115458941206,jax_gene_9253
SP1,es_20200604115458941236,12,6667,6667,es_20200422164412643320,esl_20200604115458941236,jax_gene_6667
BCL2A1,es_20200604115458941258,15,597,597,es_20200422164412148175,esl_20200604115458941258,jax_gene_597
TLR7,es_20200604115458941289,X,51284,51284,es_20200422164418856363,esl_20200604115458941289,jax_gene_51284
CCR4,es_20200604115458941313,3,1233,1233,es_20200422175646639231,esl_20200604115458941313,jax_gene_1233
GATA2,es_20200604115458941343,3,2624,2624,es_20200422164411146565,esl_20200604115458941343,jax_gene_2624
GREM1,es_20200604115458941370,15,26585,26585,es_20200422164406509547,esl_20200604115458941370,jax_gene_26585
CRTC2,es_20200604115458941435,1,200186,200186,es_20200422164405591007,esl_20200604115458941435,jax_gene_200186
