name,canonicalTranscript,chromosome,entrezId,jaxId,description_graph_id,graph_id
SVOPL,NM_001139456,7,136306,136306,es_20200422163651052283,jax_gene_136306
MAGEA3,NM_005362,X,4102,4102,es_20200422163640461286,jax_gene_4102
XRCC1,NM_006297,19,7515,7515,es_20200422163652130566,jax_gene_7515
GID4,NM_024052,17,79018,79018,es_20200422163708358240,jax_gene_79018
TNS1,NM_022648,2,7145,7145,es_20200422163653770665,jax_gene_7145
HSF1,NM_005526,8,3297,3297,es_20200422163642483342,jax_gene_3297
SSTR4,NM_001052,20,6754,6754,es_20200422163706603151,jax_gene_6754
MAP3K9,NM_001284230,14,4293,4293,es_20200422163656200721,jax_gene_4293
AGO2,NM_012154,8,27161,27161,es_20200422163716022425,jax_gene_27161
BIRC5,NM_001168,17,332,332,es_20200422175547676906,jax_gene_332
FAT3,NM_001008781,11,120114,120114,es_20200422163739468085,jax_gene_120114
ITGB3,NM_000212,17,3690,3690,es_20200422163717818898,jax_gene_3690
CCNI2,NM_001039780,5,645121,645121,es_20200422175558916774,jax_gene_645121
AFAP1L2,NM_001001936.2,10,84632,84632,es_20200422164002009855,jax_gene_84632
CEP43,NM_007045,6,11116,11116,es_20200422163744434770,jax_gene_11116
MAPK9,NM_002752,5,5601,5601,es_20200422163746135263,jax_gene_5601
TCF12,NM_207038,15,6938,6938,es_20200422163829490051,jax_gene_6938
SSBP1,NM_003143,7,6742,6742,es_20200422163746576532,jax_gene_6742
TEAD2,NM_003598,19,8463,8463,es_20200422175551634612,jax_gene_8463
APC,NM_000038,5,324,324,es_20200422163800741266,jax_gene_324
NFKB1,NM_001165412,4,4790,4790,es_20200422163754309938,jax_gene_4790
DDX3X,NM_001356,X,1654,1654,es_20200422163818903341,jax_gene_1654
TOP2A,NM_001067,17,7153,7153,es_20200422163747888509,jax_gene_7153
COX2,None,MT,4513,4513,es_20200422163802602305,jax_gene_4513
TXN,NM_003329,9,7295,7295,es_20200422163759698833,jax_gene_7295
ERG,NM_001136154,21,2078,2078,es_20200422175552946368,jax_gene_2078
PIK3R5,NM_001142633,17,23533,23533,es_20200422163854029926,jax_gene_23533
EBF1,NM_024007,5,1879,1879,es_20200422163847254328,jax_gene_1879
MACF1,NM_012090,1,23499,23499,es_20200422163850689009,jax_gene_23499
TFEB,NM_001271944,6,7942,7942,es_20200422175554203259,jax_gene_7942
CEACAM5,NM_004363,19,1048,1048,es_20200422163905924533,jax_gene_1048
PTK2B,NM_173174,8,2185,2185,es_20200422163855538784,jax_gene_2185
PIK3C2G,NM_004570,12,5288,5288,es_20200422163900257636,jax_gene_5288
LRP1B,NM_018557,2,53353,53353,es_20200422163858032523,jax_gene_53353
RAD18,NM_020165,3,56852,56852,es_20200422163857097707,jax_gene_56852
BRD4,NM_058243,19,23476,23476,es_20200422163855009068,jax_gene_23476
BCOR,NM_001123385,X,54880,54880,es_20200422163903641529,jax_gene_54880
APLNR,NM_005161,11,187,187,es_20200422163906951224,jax_gene_187
NFASC,XM_011509319,1,23114,23114,es_20200422163902623480,jax_gene_23114
MALAT1,None,11,378938,378938,es_20200422163901655497,jax_gene_378938
LAMTOR1,NM_017907,11,55004,55004,es_20200422163908057404,jax_gene_55004
SUPT16H,NM_007192,14,11198,11198,es_20200422163915718149,jax_gene_11198
FGFR2,NM_000141,10,2263,2263,es_20200422163920771639,jax_gene_2263
RUFY2,NM_017987,10,55680,55680,es_20200422163911690110,jax_gene_55680
DIS3,NM_014953,13,22894,22894,es_20200422163931835373,jax_gene_22894
DUSP22,NM_020185,6,56940,56940,es_20200422163913550657,jax_gene_56940
DNMT3B,NM_006892,20,1789,1789,es_20200422175555660833,jax_gene_1789
GNAQ,NM_002072,9,2776,2776,es_20200422163923860475,jax_gene_2776
SP3,NM_003111,2,6670,6670,es_20200422163917004487,jax_gene_6670
BARD1,NM_000465,2,580,580,es_20200422175556741644,jax_gene_580
SMAD3,NM_005902,15,4088,4088,es_20200422163929999838,jax_gene_4088
DYRK1A,NM_001396,21,1859,1859,es_20200422163922950063,jax_gene_1859
IKZF1,NM_006060,7,10320,10320,es_20200422163926123451,jax_gene_10320
TNF,NM_000594,6,7124,7124,es_20200422163924836821,jax_gene_7124
MSH3,NM_002439,5,4437,4437,es_20200422163929552520,jax_gene_4437
BCL2,NM_000633,18,596,596,es_20200422163935525966,jax_gene_596
GATA3,NM_002051,10,2625,2625,es_20200422163933468447,jax_gene_2625
LYN,NM_002350,8,4067,4067,es_20200422163927525949,jax_gene_4067
CACNA1S,NM_000069,1,779,779,es_20200422164247718249,jax_gene_779
NADK,NM_001085411,1,65220,65220,es_20200422163929075483,jax_gene_65220
MED23,NM_004830,6,9439,9439,es_20200422163937785781,jax_gene_9439
NUTM2A,NM_001099338,10,728118,728118,es_20200422164000681020,jax_gene_728118
SMG6,NM_017575,17,23293,23293,es_20200422175559518342,jax_gene_23293
CDH11,NM_001797,16,1009,1009,es_20200422163936026977,jax_gene_1009
NRF1,NM_005011,7,4899,4899,es_20200422175600754293,jax_gene_4899
PDS5B,NM_015032,13,23047,23047,es_20200422163940154555,jax_gene_23047
RPS6KA5,NM_004755,14,9252,9252,es_20200422175602679251,jax_gene_9252
MSLN,NM_013404,16,10232,10232,es_20200422164008934883,jax_gene_10232
BCL9,NM_004326,1,607,607,es_20200422164006760356,jax_gene_607
NR4A3,NM_006981,9,8013,8013,es_20200422163959739489,jax_gene_8013
CRB3,NM_139161,19,92359,92359,es_20200422164010433846,jax_gene_92359
RYR1,NM_000540,19,6261,6261,es_20200422164014635477,jax_gene_6261
SLC66A1,NM_017765,1,54896,54896,es_20200422164009449711,jax_gene_54896
IFIT2,NM_001547,10,3433,3433,es_20200422175604016202,jax_gene_3433
CDK20,NM_001039803,9,23552,23552,es_20200422164012395024,jax_gene_23552
ARAF,NM_001654,X,369,369,es_20200422164024011237,jax_gene_369
RPS6KC1,NM_012424,1,26750,26750,es_20200422164010933062,jax_gene_26750
H3-4,NM_003493,1,8290,8290,es_20200422164021557401,jax_gene_8290
SLC16A7,NM_001270623,12,9194,9194,es_20200422164013236967,jax_gene_9194
CCNC,NM_005190,6,892,892,es_20200422164016482164,jax_gene_892
GLI3,NM_000168,7,2737,2737,es_20200422164019419702,jax_gene_2737
FRS2,NM_001278357,12,10818,10818,es_20200422164018474163,jax_gene_10818
FXR1,NM_005087,3,8087,8087,es_20200422175605986570,jax_gene_8087
CXCL8,NM_000584,4,3576,3576,es_20200422164022180015,jax_gene_3576
STAT3,NM_139276,17,6774,6774,es_20200422164023545887,jax_gene_6774
RAD54L,NM_001142548,1,8438,8438,es_20200422164030507525,jax_gene_8438
TNFRSF8,NM_001243,1,943,943,es_20200422164042246817,jax_gene_943
PRKAR1A,NM_212472,17,5573,5573,es_20200422175608192309,jax_gene_5573
DNM3,XM_005245080,1,26052,26052,es_20200422164040410047,jax_gene_26052
DSPP,NM_014208,4,1834,1834,es_20200422164055789057,jax_gene_1834
INHBA,NM_002192,7,3624,3624,es_20200422164032691144,jax_gene_3624
GLI2,NM_005270,2,2736,2736,es_20200422164347185385,jax_gene_2736
PVT1,None,8,5820,5820,es_20200422164036289977,jax_gene_5820
FGF14,NM_004115,13,2259,2259,es_20200422164043508426,jax_gene_2259
TRIM11,NM_145214,1,81559,81559,es_20200422164044879729,jax_gene_81559
ASXL2,NM_018263,2,55252,55252,es_20200422164049246239,jax_gene_55252
TACC1,NM_006283,8,6867,6867,es_20200422164046972616,jax_gene_6867
RPA4,NM_013347,X,29935,29935,es_20200422164053017384,jax_gene_29935
SLC7A11,NM_014331,4,23657,23657,es_20200422164100631571,jax_gene_23657
CCR2,NM_001123041,3,729230,729230,es_20200422164051233890,jax_gene_729230
TENT5C,NM_017709,1,54855,54855,es_20200422164053947070,jax_gene_54855
RBBP8,NM_002894,18,5932,5932,es_20200422164109916000,jax_gene_5932
AMER1,NM_152424,X,139285,139285,es_20200422164113877333,jax_gene_139285
TADA2A,NM_001166105,17,6871,6871,es_20200422175616746726,jax_gene_6871
BIRC7,NM_139317,20,79444,79444,es_20200422164111001410,jax_gene_79444
TCF7L2,XM_005270084,10,6934,6934,es_20200422164121086091,jax_gene_6934
SCGB1C1,NM_145651,11,147199,147199,es_20200422175615407881,jax_gene_147199
CYP19A1,NM_000103,15,1588,1588,es_20200422164111931061,jax_gene_1588
ERCC6,NM_000124,10,2074,2074,es_20200422164119434651,jax_gene_2074
ARHGAP26,NM_015071,5,23092,23092,es_20200422164116393741,jax_gene_23092
PPFIBP1,NM_177444,12,8496,8496,es_20200422164118943741,jax_gene_8496
HAUS5,NM_015302,19,23354,23354,es_20200422164137527857,jax_gene_23354
ATN1,NM_001007026,12,1822,1822,es_20200422164136544282,jax_gene_1822
FUBP1,NM_003902,1,8880,8880,es_20200422164122417267,jax_gene_8880
RASGRF2,NM_006909,5,5924,5924,es_20200422164141215867,jax_gene_5924
NFATC2,NM_173091,20,4773,4773,es_20200422164139854265,jax_gene_4773
FOXP1,NM_032682,3,27086,27086,es_20200422164146509886,jax_gene_27086
MMP14,NM_004995,14,4323,4323,es_20200422164138422606,jax_gene_4323
KIF13B,NM_015254,8,23303,23303,es_20200422164158836706,jax_gene_23303
SLX4,NM_032444,16,84464,84464,es_20200422164142069030,jax_gene_84464
CCN6,NM_198239,6,8838,8838,es_20200422164144796204,jax_gene_8838
ZC3HAV1,NM_020119,7,56829,56829,es_20200422164149834892,jax_gene_56829
APOBEC2,NM_006789,6,10930,10930,es_20200422164159711830,jax_gene_10930
H3C14,NM_021059,1,126961,126961,es_20200422164154038463,jax_gene_126961
A1CF,NM_138932,10,29974,29974,es_20200422175618006579,jax_gene_29974
FANCG,NM_004629,9,2189,2189,es_20200422164152428924,jax_gene_2189
GOLGA5,NM_005113,14,9950,9950,es_20200422164202646194,jax_gene_9950
ATRIP,NM_130384,3,84126,84126,es_20200422164157453721,jax_gene_84126
H3C10,NM_003536,6,8357,8357,es_20200422164201580977,jax_gene_8357
POLD4,NM_021173,11,57804,57804,es_20200422164203566318,jax_gene_57804
STK33,NM_001289061,11,65975,65975,es_20200422164204961458,jax_gene_65975
MYO18A,NM_078471,17,399687,399687,es_20200422164214404693,jax_gene_399687
H3C12,NM_003535,6,8356,8356,es_20200422164211965380,jax_gene_8356
CALR,NM_004343,19,811,811,es_20200422164209765631,jax_gene_811
DEPDC5,NM_001242896,22,9681,9681,es_20200422164221190552,jax_gene_9681
CARD11,NM_032415,7,84433,84433,es_20200422164206829429,jax_gene_84433
HSP90AB1,NM_001271970,6,3326,3326,es_20200422164220592903,jax_gene_3326
KIF5B,NM_004521,10,3799,3799,es_20200422164226226399,jax_gene_3799
ENG,NM_001114753,9,2022,2022,es_20200422164228625497,jax_gene_2022
PRKN,NM_004562,6,5071,5071,es_20200422164216228417,jax_gene_5071
PTCH2,NM_003738,1,8643,8643,es_20200422164213409913,jax_gene_8643
IPO7,NM_006391,11,10527,10527,es_20200422164219438267,jax_gene_10527
BST2,NM_004335,19,684,684,es_20200422164223826415,jax_gene_684
CCAR2,NM_021174,8,57805,57805,es_20200422164217975971,jax_gene_57805
FANCF,NM_022725,11,2188,2188,es_20200422164227199126,jax_gene_2188
RB1,NM_000321,13,5925,5925,es_20200422164240084618,jax_gene_5925
NSD1,NM_022455,5,64324,64324,es_20200422164231403991,jax_gene_64324
PDK1,NM_002610,2,5163,5163,es_20200422164229147680,jax_gene_5163
NFATC1,NM_001278669,18,4772,4772,es_20200422164237923127,jax_gene_4772
EWSR1,NM_005243,22,2130,2130,es_20200422164248267712,jax_gene_2130
JMJD6,NM_015167,17,23210,23210,es_20200422164242376181,jax_gene_23210
LRIG3,NM_153377,12,121227,121227,es_20200422164450066638,jax_gene_121227
CUL1,NM_003592,7,8454,8454,es_20200422164454965123,jax_gene_8454
MAST2,NM_015112,1,23139,23139,es_20200422175620387139,jax_gene_23139
FZR1,NM_001136198,19,51343,51343,es_20200422164251456552,jax_gene_51343
MLLT10,NM_001195626,10,8028,8028,es_20200422164253262445,jax_gene_8028
BIRC2,NM_001166,11,329,329,es_20200422164245828717,jax_gene_329
AGK,NM_018238,7,55750,55750,es_20200422175622546190,jax_gene_55750
EXO1,NM_130398,1,9156,9156,es_20200422175625366994,jax_gene_9156
KIAA1217,NM_019590,10,56243,56243,es_20200422164300708495,jax_gene_56243
VMP1,NM_030938,17,81671,81671,es_20200422164303897276,jax_gene_81671
POU5F1,NM_002701,6,5460,5460,es_20200422164305281767,jax_gene_5460
SSX4,NM_005636,X,6759,6759,es_20200422164256397806,jax_gene_6759
SQSTM1,NM_003900,5,8878,8878,es_20200422175627716803,jax_gene_8878
RABGAP1L,NM_014857,1,9910,9910,es_20200422164302889649,jax_gene_9910
SCYL3,NM_181093,1,57147,57147,es_20200422164310981165,jax_gene_57147
XRCC4,NM_022406,5,7518,7518,es_20200422164302028502,jax_gene_7518
CDK15,XM_005246781,2,65061,65061,es_20200422164321666775,jax_gene_65061
SRSF2,NM_001195427,17,6427,6427,es_20200422164338872330,jax_gene_6427
OFD1,NM_003611,X,8481,8481,es_20200422164313261640,jax_gene_8481
ERC1,NM_178040,12,23085,23085,es_20200422164312028909,jax_gene_23085
ROS1,NM_002944,6,6098,6098,es_20200422164326451284,jax_gene_6098
TMEM82,NM_001013641,1,388595,388595,es_20200422175633630953,jax_gene_388595
DDR1,NM_013993,6,780,780,es_20200422175631029488,jax_gene_780
CDK8,NM_001260,13,1024,1024,es_20200422175634666517,jax_gene_1024
ADARB1,NM_015833,21,104,104,es_20200422164319889373,jax_gene_104
MAGEC1,NM_005462,X,9947,9947,es_20200422164323051046,jax_gene_9947
TMEM127,NM_017849,2,55654,55654,es_20200422164323979239,jax_gene_55654
CRLF2,NM_022148,"X, Y",64109,64109,es_20200422164329079298,jax_gene_64109
IL13RA2,NM_000640,X,3598,3598,es_20200422164343680194,jax_gene_3598
FUS,NM_004960,16,2521,2521,es_20200422164333616578,jax_gene_2521
EPAS1,NM_001430,2,2034,2034,es_20200422164335288409,jax_gene_2034
COL14A1,NM_021110,8,7373,7373,es_20200422175637623607,jax_gene_7373
WNT1,NM_005430,12,7471,7471,es_20200422164345029214,jax_gene_7471
CEP85L,NM_001042475,6,387119,387119,es_20200422175638997800,jax_gene_387119
PRMT2,NM_206962,21,3275,3275,es_20200422164341069155,jax_gene_3275
CD27, NM_001242,12,939,939,es_20200422164346287323,jax_gene_939
PDGFRB,NM_002609,5,5159,5159,es_20200422175640272697,jax_gene_5159
ATF1,NM_005171,12,466,466,es_20200422164658389529,jax_gene_466
RHOA,NM_001664,3,387,387,es_20200422164341602644,jax_gene_387
PCMTD1,NM_052937,8,115294,115294,es_20200422164355470643,jax_gene_115294
CRKL,NM_005207,22,1399,1399,es_20200422164358295033,jax_gene_1399
STAT4,NM_001243835,2,6775,6775,es_20200422164354363562,jax_gene_6775
MMP9,NM_004994,20,4318,4318,es_20200422164349045208,jax_gene_4318
DDX11,NM_152438,12,1663,1663,es_20200422164355950767,jax_gene_1663
KMT2C,NM_170606,7,58508,58508,es_20200422164402440258,jax_gene_58508
NUMBL,NM_004756,19,9253,9253,es_20200422175644197238,jax_gene_9253
SP1,NM_138473,12,6667,6667,es_20200422164412643320,jax_gene_6667
BCL2A1,NM_004049,15,597,597,es_20200422164412148175,jax_gene_597
TLR7,NM_016562,X,51284,51284,es_20200422164418856363,jax_gene_51284
CCR4,NM_005508,3,1233,1233,es_20200422175646639231,jax_gene_1233
GATA2,NM_032638,3,2624,2624,es_20200422164411146565,jax_gene_2624
GREM1,NM_013372,15,26585,26585,es_20200422164406509547,jax_gene_26585
CRTC2,NM_181715,1,200186,200186,es_20200422164405591007,jax_gene_200186
HCFC1R1,NM_017885,16,54985,54985,es_20200422164415748641,jax_gene_54985
BAK1,NM_001188,6,578,578,es_20200422164413934424,jax_gene_578
SMAD4,NM_005359,18,4089,4089,es_20200422164425383146,jax_gene_4089
ERLIN2,NM_007175,8,11160,11160,es_20200422164421052468,jax_gene_11160
EZR,NM_001111077,6,7430,7430,es_20200422164429648578,jax_gene_7430
TACSTD2,NM_002353,1,4070,4070,es_20200422164435885020,jax_gene_4070
KIF11,NM_004523,10,3832,3832,es_20200422164449127810,jax_gene_3832
BAX,NM_138761,19,581,581,es_20200422164427516602,jax_gene_581
MSH2,NM_000251,2,4436,4436,es_20200422164416259939,jax_gene_4436
GCNT3,NM_004751,15,9245,9245,es_20200422175656883720,jax_gene_9245
AURKB,NM_004217,17,9212,9212,es_20200422164433235678,jax_gene_9212
SUZ12,NM_015355,17,23512,23512,es_20200422164442149091,jax_gene_23512
GNRHR,NM_000406,4,2798,2798,es_20200422164430472345,jax_gene_2798
BAZ2A,NM_013449,12,11176,11176,es_20200422164432765405,jax_gene_11176
DNMT3A,NM_022552,2,1788,1788,es_20200422164434520703,jax_gene_1788
SND1,NM_014390,7,27044,27044,es_20200422175652406465,jax_gene_27044
SLC12A2,NM_001046,5,6558,6558,es_20200422164439793114,jax_gene_6558
MBNL1,NM_207293,3,4154,4154,es_20200422164602081055,jax_gene_4154
TFRC,NM_001128148,3,7037,7037,es_20200422164444656858,jax_gene_7037
MSMB,NM_002443,10,4477,4477,es_20200422175655172082,jax_gene_4477
PRMT5,NM_006109,14,10419,10419,es_20200422164447821674,jax_gene_10419
EPHA10,NM_001099439,1,284656,284656,es_20200422164446119550,jax_gene_284656
KLF5,NM_001730,13,688,688,es_20200422175703167867,jax_gene_688
CNTRL,NM_007018,9,11064,11064,es_20200422164457304429,jax_gene_11064
WDCP,NM_001170858,2,80304,80304,es_20200422164507735639,jax_gene_80304
PIK3C3,NM_002647,18,5289,5289,es_20200422164456258494,jax_gene_5289
PROM1,NM_006017,4,8842,8842,es_20200422175658186547,jax_gene_8842
PRAME,NM_206955,22,23532,23532,es_20200422164516055394,jax_gene_23532
HES1,NM_005524,3,3280,3280,es_20200422175701206800,jax_gene_3280
FAH,NM_000137,15,2184,2184,es_20200422164521035092,jax_gene_2184
KRAS,NM_033360,12,3845,3845,es_20200422164527445334,jax_gene_3845
FBXO4,NM_012176,5,26272,26272,es_20200422164545540033,jax_gene_26272
LRFN4,NM_024036,11,78999,78999,es_20200422164508535576,jax_gene_78999
NRG4,NM_138573,15,145957,145957,es_20200422175704527201,jax_gene_145957
NKAIN2,NM_001040214,6,154215,154215,es_20200422164503382916,jax_gene_154215
SMARCA4,NM_003072,19,6597,6597,es_20200422164526048078,jax_gene_6597
TGFB1,NM_000660,19,7040,7040,es_20200422164534319721,jax_gene_7040
ODC1,NM_002539,2,4953,4953,es_20200422164521665073,jax_gene_4953
NBN,NM_002485,8,4683,4683,es_20200422164529718950,jax_gene_4683
ASPSCR1,NM_024083,17,79058,79058,es_20200422175711328450,jax_gene_79058
SRC,NM_198291,20,6714,6714,es_20200422164530711910,jax_gene_6714
PTTG1,NM_004219,5,9232,9232,es_20200422164523929732,jax_gene_9232
PTK6,NM_005975,20,5753,5753,es_20200422164536739568,jax_gene_5753
RXRA,NM_002957,9,6256,6256,es_20200422164556083877,jax_gene_6256
BAIAP2L1,NM_018842,7,55971,55971,es_20200422164528418644,jax_gene_55971
HOXB13,NM_006361,17,10481,10481,es_20200422164532561650,jax_gene_10481
FES,NM_002005,15,2242,2242,es_20200422175713643587,jax_gene_2242
CD40,NM_001250,20,958,958,es_20200422164535780917,jax_gene_958
KDM6B,NM_001348716,17,23135,23135,es_20200422164538912736,jax_gene_23135
FAT4,NM_024582,4,79633,79633,es_20200422164542094774,jax_gene_79633
NONO,NM_007363,X,4841,4841,es_20200422164537630035,jax_gene_4841
NFKB2,NM_001077494,10,4791,4791,es_20200422164552293636,jax_gene_4791
B4GALNT1,NM_001478,12,2583,2583,es_20200422175715044323,jax_gene_2583
CTNNBL1,NM_030877,20,56259,56259,es_20200422164547942010,jax_gene_56259
CCNL1,NM_020307,3,57018,57018,es_20200422175716623758,jax_gene_57018
KIR3DL2,NM_006737,19,3812,3812,es_20200422164549894560,jax_gene_3812
MAPK11,NM_002751,22,5600,5600,es_20200422164605655538,jax_gene_5600
TRIM27,NM_006510,6,5987,5987,es_20200422175718567036,jax_gene_5987
DROSHA,NM_013235,5,29102,29102,es_20200422165137156559,jax_gene_29102
UBE2H,NM_003344.3,7,7328,7328,es_20200422175718025009,jax_gene_7328
IGF2BP3,NM_006547,7,10643,10643,es_20200422164557517380,jax_gene_10643
CPSF6,NM_007007,12,11052,11052,es_20200422164604309790,jax_gene_11052
BRIP1,NM_032043,17,83990,83990,es_20200422164557981202,jax_gene_83990
XPO1,NM_003400,2,7514,7514,es_20200422164613842785,jax_gene_7514
HLA-C,NM_002117,6,3107,3107,es_20200422164616316475,jax_gene_3107
CCDC170,NM_025059,6,80129,80129,es_20200422164615347851,jax_gene_80129
FOLH1,NM_004476,11,2346,2346,es_20200422164614815390,jax_gene_2346
CLTC,NM_004859,17,1213,1213,es_20200422164606639364,jax_gene_1213
AXL,NM_021913,19,558,558,es_20200422164628554217,jax_gene_558
HBEGF,NM_001945,5,1839,1839,es_20200422164607917999,jax_gene_1839
TET1,NM_030625,10,80312,80312,es_20200422164623318792,jax_gene_80312
SSTR5,NM_001172560,16,6755,6755,es_20200422164621431200,jax_gene_6755
MLH1,NM_000249,3,4292,4292,es_20200422164617752058,jax_gene_4292
MAGEA4,NM_001011548,X,4103,4103,es_20200422164625866967,jax_gene_4103
GPR107,NM_001136557,9,57720,57720,es_20200422164627588314,jax_gene_57720
PRKDC,NM_006904,8,5591,5591,es_20200422164633944667,jax_gene_5591
EGFL7,NM_016215,9,51162,51162,es_20200422164636313539,jax_gene_51162
TMPRSS2,NM_005656,21,7113,7113,es_20200422175721047900,jax_gene_7113
SIRPA,NM_001040022,20,140885,140885,es_20200422164632640313,jax_gene_140885
FGF9,NM_002010,13,2254,2254,es_20200422164635742854,jax_gene_2254
RSPO2,NM_178565,8,340419,340419,es_20200422164640584873,jax_gene_340419
PIK3CD,NM_005026,1,5293,5293,es_20200422164648723295,jax_gene_5293
TRAF3,NM_003300,14,7187,7187,es_20200422164655939102,jax_gene_7187
LAMP1,NM_005561,13,3916,3916,es_20200422164638212736,jax_gene_3916
TBC1D3G,NM_001291462,17,654341,654341,es_20200422164640040784,jax_gene_654341
GOT1,NM_002079,10,2805,2805,es_20200422164649319357,jax_gene_2805
RNF217-AS1,None,6,7955,7955,es_20200422164639504207,jax_gene_7955
EGF,NM_001963,4,1950,1950,es_20200422164657016435,jax_gene_1950
EPHA4,NM_004438,2,2043,2043,es_20200422164644925481,jax_gene_2043
WWTR1,NM_001168278,3,25937,25937,es_20200422164643180983,jax_gene_25937
GHR,NM_000163,5,2690,2690,es_20200422164704987942,jax_gene_2690
COL18A1,NM_130444,21,80781,80781,es_20200422164714819330,jax_gene_80781
DLC1,NM_182643,8,10395,10395,es_20200422164650218777,jax_gene_10395
JAK2,NM_004972,9,3717,3717,es_20200422164653418062,jax_gene_3717
MAGI2,NM_012301,7,9863,9863,es_20200422164807659307,jax_gene_9863
ADGRA2,NM_032777,8,25960,25960,es_20200422164711316587,jax_gene_25960
CEBPE,NM_001805,14,1053,1053,es_20200422175723923816,jax_gene_1053
FRK,NM_002031,6,2444,2444,es_20200422164707367560,jax_gene_2444
PDGFB,NM_002608,22,5155,5155,es_20200422164704014445,jax_gene_5155
RASA3,NM_007368,13,22821,22821,es_20200422175725913733,jax_gene_22821
